Country_Code,Year,Unique_Tags,CCI_Diversity,ECI
JPN,2019,14,2.6390573296152584,2.549
JPN,2020,19,2.9444389791664403,2.55
JPN,2021,19,2.9444389791664403,2.466
JPN,2022,6,1.791759469228055,2.518
KOR,2010,1,0.0,1.662
KOR,2011,2,0.6931471805599453,1.683
KOR,2013,5,1.6094379124341003,1.889
KOR,2014,7,1.9459101490553132,1.873
KOR,2015,7,1.9459101490553132,1.974
KOR,2016,10,2.302585092994046,2.087
KOR,2017,10,2.302585092994046,2.046
KOR,2018,12,2.4849066497880004,2.112
KOR,2019,8,2.0794415416798357,2.198
KOR,2020,9,2.1972245773362196,2.078
KOR,2021,5,1.6094379124341003,2.082
KOR,2022,3,1.0986122886681098,2.093
MEX,2011,6,1.791759469228055,0.988
MEX,2012,10,2.302585092994046,1.011
MEX,2013,10,2.302585092994046,0.997
MEX,2014,12,2.4849066497880004,1.024
MEX,2015,10,2.302585092994046,1.15
MEX,2016,8,2.0794415416798357,1.098
MEX,2017,5,1.6094379124341003,0.981
MEX,2018,2,0.6931471805599453,0.993
MEX,2019,5,1.6094379124341003,1.04
MEX,2020,6,1.791759469228055,1.097
MEX,2021,6,1.791759469228055,0.993
MEX,2022,2,0.6931471805599453,0.999
MYS,2010,5,1.6094379124341003,0.924
MYS,2011,8,2.0794415416798357,1.028
MYS,2012,9,2.1972245773362196,0.97
MYS,2013,13,2.5649493574615367,1.056
MYS,2014,13,2.5649493574615367,0.98
MYS,2015,18,2.8903717578961645,1.124
MYS,2016,18,2.8903717578961645,1.144
MYS,2017,27,3.295836866004329,1.138
MYS,2018,29,3.367295829986474,1.211
MYS,2019,29,3.367295829986474,1.209
MYS,2020,27,3.295836866004329,1.287
MYS,2021,24,3.1780538303479458,1.241
MYS,2022,8,2.0794415416798357,1.254
NGA,2011,1,0.0,-1.637
NGA,2012,3,1.0986122886681098,-1.633
NGA,2013,4,1.3862943611198906,-1.648
NGA,2014,3,1.0986122886681098,-1.151
NGA,2015,8,2.0794415416798357,-1.345
NGA,2016,12,2.4849066497880004,-1.756
NGA,2017,15,2.70805020110221,-1.698
NGA,2018,18,2.8903717578961645,-1.734
NGA,2019,20,2.995732273553991,-1.529
NGA,2020,24,3.1780538303479458,-1.506
NGA,2021,20,2.995732273553991,-1.705
NGA,2022,15,2.70805020110221,-1.916
NLD,2010,21,3.044522437723423,1.204
NLD,2011,43,3.7612001156935624,1.144
NLD,2012,44,3.784189633918261,1.134
NLD,2013,53,3.970291913552122,1.155
NLD,2014,61,4.110873864173311,1.17
NLD,2015,56,4.02535169073515,1.219
NLD,2016,51,3.9318256327243257,1.181
NLD,2017,52,3.9512437185814275,1.128
NLD,2018,46,3.828641396489095,1.135
NLD,2019,44,3.784189633918261,1.089
NLD,2020,40,3.6888794541139363,1.087
NLD,2021,31,3.4339872044851463,1.157
NLD,2022,18,2.8903717578961645,1.106
PAK,2010,13,2.5649493574615367,-0.769
PAK,2011,17,2.833213344056216,-0.808
PAK,2012,21,3.044522437723423,-0.745
PAK,2013,24,3.1780538303479458,-0.775
PAK,2014,27,3.295836866004329,-0.787
PAK,2015,30,3.4011973816621555,-0.741
PAK,2016,31,3.4339872044851463,-0.839
PAK,2017,34,3.5263605246161616,-0.712
PAK,2018,34,3.5263605246161616,-0.721
PAK,2019,36,3.58351893845611,-0.705
PAK,2020,38,3.6375861597263857,-0.664
PAK,2021,33,3.4965075614664802,-0.579
PAK,2022,20,2.995732273553991,-0.589
PHL,2010,9,2.1972245773362196,0.49
PHL,2011,12,2.4849066497880004,0.46
PHL,2012,17,2.833213344056216,0.555
PHL,2013,25,3.2188758248682006,0.657
PHL,2014,30,3.4011973816621555,0.633
PHL,2015,29,3.367295829986474,0.639
PHL,2016,33,3.4965075614664802,0.633
PHL,2017,40,3.6888794541139363,0.671
PHL,2018,43,3.7612001156935624,0.755
PHL,2019,37,3.6109179126442243,0.611
PHL,2020,32,3.4657359027997265,0.841
PHL,2021,32,3.4657359027997265,0.805
PHL,2022,17,2.833213344056216,0.839
POL,2010,16,2.772588722239781,1.065
POL,2011,20,2.995732273553991,1.084
POL,2012,27,3.295836866004329,1.066
POL,2013,36,3.58351893845611,1.083
POL,2014,40,3.6888794541139363,1.129
POL,2015,41,3.713572066704308,1.143
POL,2016,35,3.5553480614894135,1.084
POL,2017,39,3.6635616461296463,1.161
POL,2018,35,3.5553480614894135,1.053
POL,2019,35,3.5553480614894135,1.063
POL,2020,38,3.6375861597263857,1.007
POL,2021,36,3.58351893845611,0.973
POL,2022,17,2.833213344056216,0.971
RUS,2010,16,2.772588722239781,0.638
RUS,2011,22,3.091042453358316,0.648
RUS,2012,28,3.332204510175204,0.475
RUS,2013,33,3.4965075614664802,0.428
RUS,2014,33,3.4965075614664802,0.306
RUS,2015,38,3.6375861597263857,0.285
RUS,2016,40,3.6888794541139363,0.299
RUS,2017,41,3.713572066704308,0.393
RUS,2018,30,3.4011973816621555,0.201
RUS,2019,25,3.2188758248682006,0.257
RUS,2020,30,3.4011973816621555,0.381
RUS,2021,27,3.295836866004329,0.281
RUS,2022,9,2.1972245773362196,-0.089
SGP,2010,11,2.3978952727983707,1.977
SGP,2011,29,3.367295829986474,1.846
SGP,2012,31,3.4339872044851463,1.85
SGP,2013,43,3.7612001156935624,2.047
SGP,2014,41,3.713572066704308,1.849
SGP,2015,43,3.7612001156935624,2.175
SGP,2016,46,3.828641396489095,2.152
SGP,2017,56,4.02535169073515,2.124
SGP,2018,46,3.828641396489095,2.196
SGP,2019,44,3.784189633918261,2.152
SGP,2020,43,3.7612001156935624,2.227
SGP,2021,35,3.5553480614894135,2.119
SGP,2022,12,2.4849066497880004,2.161
SWE,2010,23,3.1354942159291497,1.923
SWE,2011,30,3.4011973816621555,1.875
SWE,2012,36,3.58351893845611,1.841
SWE,2013,41,3.713572066704308,1.835
SWE,2014,34,3.5263605246161616,1.851
SWE,2015,38,3.6375861597263857,1.81
SWE,2016,28,3.332204510175204,1.816
SWE,2017,28,3.332204510175204,1.735
SWE,2018,21,3.044522437723423,1.788
SWE,2019,23,3.1354942159291497,1.815
SWE,2020,22,3.091042453358316,1.685
SWE,2021,21,3.044522437723423,1.698
SWE,2022,13,2.5649493574615367,1.641
THA,2010,2,0.6931471805599453,0.732
THA,2011,5,1.6094379124341003,0.782
THA,2012,8,2.0794415416798357,0.897
THA,2013,8,2.0794415416798357,0.859
THA,2014,7,1.9459101490553132,0.937
THA,2015,8,2.0794415416798357,1.012
THA,2016,6,1.791759469228055,1.044
THA,2017,8,2.0794415416798357,1.068
THA,2018,4,1.3862943611198906,1.052
THA,2019,5,1.6094379124341003,1.043
THA,2020,4,1.3862943611198906,1.001
THA,2021,3,1.0986122886681098,1.018
THA,2022,3,1.0986122886681098,1.093
TUR,2010,8,2.0794415416798357,0.252
TUR,2011,13,2.5649493574615367,0.344
TUR,2012,18,2.8903717578961645,0.386
TUR,2013,19,2.9444389791664403,0.36
TUR,2014,19,2.9444389791664403,0.441
TUR,2015,18,2.8903717578961645,0.351
TUR,2016,22,3.091042453358316,0.374
TUR,2017,16,2.772588722239781,0.473
TUR,2018,15,2.70805020110221,0.459
TUR,2019,19,2.9444389791664403,0.531
TUR,2020,32,3.4657359027997265,0.475
TUR,2021,31,3.4339872044851463,0.479
TUR,2022,20,2.995732273553991,0.504
USA,2010,129,4.859812404361672,1.688
USA,2011,140,4.941642422609304,1.747
USA,2012,142,4.955827057601261,1.659
USA,2013,142,4.955827057601261,1.703
USA,2014,122,4.804021044733257,1.65
USA,2015,109,4.6913478822291435,1.777
USA,2016,90,4.499809670330265,1.726
USA,2017,94,4.543294782270004,1.585
USA,2018,83,4.418840607796598,1.573
USA,2019,69,4.23410650459726,1.597
USA,2020,74,4.30406509320417,1.663
USA,2021,56,4.02535169073515,1.554
USA,2022,32,3.4657359027997265,1.663
VNM,2010,2,0.6931471805599453,-0.284
VNM,2011,5,1.6094379124341003,-0.216
VNM,2012,7,1.9459101490553132,-0.075
VNM,2013,8,2.0794415416798357,-0.154
VNM,2014,9,2.1972245773362196,-0.085
VNM,2015,9,2.1972245773362196,-0.211
VNM,2016,12,2.4849066497880004,-0.255
VNM,2017,10,2.302585092994046,-0.048
VNM,2018,10,2.302585092994046,-0.066
VNM,2019,9,2.1972245773362196,-0.057
VNM,2020,10,2.302585092994046,0.036
VNM,2021,7,1.9459101490553132,0.16
VNM,2022,2,0.6931471805599453,0.158
ZAF,2010,10,2.302585092994046,0.301
ZAF,2011,17,2.833213344056216,0.317
ZAF,2012,17,2.833213344056216,0.32
ZAF,2013,27,3.295836866004329,0.345
ZAF,2014,24,3.1780538303479458,0.28
ZAF,2015,24,3.1780538303479458,0.128
ZAF,2016,20,2.995732273553991,0.123
ZAF,2017,17,2.833213344056216,0.156
ZAF,2018,15,2.70805020110221,0.068
ZAF,2019,17,2.833213344056216,0.154
ZAF,2020,21,3.044522437723423,0.016
ZAF,2021,12,2.4849066497880004,-0.021
ZAF,2022,7,1.9459101490553132,-0.032
